tsin,offer_id,title,selling_price,rrp,quantity,sku,barcode,status,takealot_url
51205798,106818107,LDNIO 3.0 USB 8 Port Desktop Fast Charger - Silver,267,0,0,-1,7.69E+12,Not Buyable,https://www.takealot.com/x/PLID48299423
48097291,106818108,LDNIO A6704 6 USB 5V / 7.0A 2.0 Quick Charge Desktop USB Charger - White,198,500,0,9.90E+12,2.03E+13,Not Buyable,https://www.takealot.com/x/PLID45239049
47705837,106818139,Magsafe 85W Charger for Macbook Pro,499,0,2,C220-M300,MPTAL00347270,Buyable,https://www.takealot.com/x/PLID44863820
44792060,106836821,85W MagSafe 2 MacBook Charger - White,489,0,2, c200-m283,MPTAL00177744,Buyable,https://www.takealot.com/x/PLID41994510
46635356,106836868,"1 to 2 HDMI Splitter Adapter Converter for HDTV, 3D, TV, PC Computer Laptop",0,0,0,No-Profit,MPTAL00269625,Not Buyable,https://www.takealot.com/x/PLID43813715
55025264,106836871,GS 4 Port HDMI Splitter - Black,164,0,0,Splitter-4,6.95E+12,Not Buyable,https://www.takealot.com/x/PLID52093730
74636437,106836917,3-Port HDMI Switch with Pigtail Cable,299,0,2,C65-M125-loosin#,MPTAL74636437,Buyable,https://www.takealot.com/x/PLID71116396
72582086,106836934,LDNIO Stylish Stainless Steel 10 000mAh Powerbank - PQ1017,500,700,0,c217-m311,MPTAL72582086,Not Buyable,https://www.takealot.com/x/PLID69313551
72320659,106836937,LDNIO PQ1017 Stainless Steel Power Bank 10000mAh,319,0,0,2,MPTAL72320659,Not Buyable,https://www.takealot.com/x/PLID69083926
